Source Title,Authors,Year,Journal/Publisher,DOI/URL,Database/Source,Citations,Search Keywords
LQR-RRT*: Optimal sampling-based motion planning with automatically derived extension heuristics,"A. Perez, R. Platt, G. Konidaris, L. Kaelbling and T. Lozano-Perez",2012,2012 IEEE International Conference on Robotics and Automation,https://ieeexplore.ieee.org/abstract/document/6225177,google scholar,343,safe LQR RRT planning
RRTX: Asymptotically optimal single-query sampling-based motion planning with quick replanning,Michael Otte ottemw@mit.edu and Emilio Frazzoli,2015,The International Journal of Robotics Research,https://doi.org/10.1177/0278364915594679,google scholar,284,RRT replanning moving obstacles
A novel RRT*-based algorithm for motion planning in Dynamic environments,Olzhas Adiyatov; Huseyin Atakan Varol,2017,2017 IEEE International Conference on Mechatronics and Automation (ICMA),https://ieeexplore.ieee.org/abstract/document/8016024,google scholar,142,RRT replanning moving obstacles
Obstacle Avoidance for Low-Speed Autonomous Vehicles With Barrier Function,Yuxiao Chen; Huei Peng; Jessy Grizzle,2018,"IEEE Transactions on Control Systems Technology ( Volume: 26, Issue: 1, January 2018) ",https://ieeexplore.ieee.org/abstract/document/7864310,google scholar,222,control barrier function autonomous
Risk-Averse RRT* Planning with Nonlinear Steering and Tracking Controllers for Nonlinear Robotic Systems Under Uncertainty,Sleiman Safaoui; Benjamin J. Gravell; Venkatraman Renganathan; Tyler H. Summers,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://ieeexplore.ieee.org/document/9636834,IEEE,17,safe LQR RRT planning
Rule-Based Safety-Critical Control Design using Control Barrier Functions with Application to Autonomous Lane Change,Suiyi He; Jun Zeng; Bike Zhang; Koushil Sreenath,2021,2021 American Control Conference (ACC),https://ieeexplore.ieee.org/abstract/document/9482848,google scholar,86,control barrier function autonomous
Smooth-RRT*: Asymptotically Optimal Motion Planning for Mobile Robots under Kinodynamic Constraints,Yiting Kang; Zhi Yang; Riya Zeng; Qi Wu,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),https://ieeexplore.ieee.org/document/9560804,IEEE,7,kinodynamic RRT autonomous vehicles
Stability Control of Autonomous Ground Vehicles Using Control-Dependent Barrier Functions,Yiwen Huang; Sze Zheng Yong; Yan Chen,2021,"IEEE Transactions on Intelligent Vehicles ( Volume: 6, Issue: 4, December 2021) ",https://ieeexplore.ieee.org/abstract/document/9351650,google scholar,59,control barrier function autonomous
A TD-RRT* Based Real-Time Path Planning of a Nonholonomic Mobile Robot and Path Smoothening Technique Using Catmull-Rom Interpolation,Jyotish; Mei-Yung Chen,2022,2022 International Conference on System Science and Engineering (ICSSE),https://ieeexplore.ieee.org/document/9948258,IEEE,2,RRT replanning moving obstacles
Autonomous Racing with Multiple Vehicles using a Parallelized Optimization with Safety Guarantee using Control Barrier Functions,Suiyi He; Jun Zeng; Koushil Sreenath,2022,2022 International Conference on Robotics and Automation (ICRA),https://ieeexplore.ieee.org/abstract/document/9811969,google scholar,40,control barrier function autonomous
Differentiable Control Barrier Functions for Vision-based End-to-End Autonomous Driving,"Wei Xiao, Tsun-Hsuan Wang, Makram Chahine, Alexander Amini, Ramin Hasani, Daniela Rus",2022,arXiv preprint arXiv:2203.02401,https://arxiv.org/abs/2203.02401,google scholar,22,control barrier function autonomous
Future-Focused Control Barrier Functions for Autonomous Vehicle Control,Mitchell Black; Mrdjan Jankovic; Abhishek Sharma; Dimitra Panagou,2023,2023 American Control Conference (ACC),https://ieeexplore.ieee.org/abstract/document/10156163,google scholar,17,control barrier function autonomous
Lane-Change Collision Avoidance Control for Automated Vehicles with Control Barrier Functions,"Ding, Y., Zhong, H., Qian, Y. et al.",2023," Int.J Automot. Technol. 24, 739–748",https://link.springer.com/article/10.1007/s12239-023-0061-2,springer,6,CBF QP autonomous driving
LQR-CBF-RRT*: Safe and Optimal Motion Planning,"Guang Yang, Mingyu Cai, Ahmad Ahmad, Amanda Prorok, Roberto Tron, Calin Belta",2023,arXiv preprint arXiv:2304.00790,https://arxiv.org/abs/2304.00790#,google scholar,16,safe LQR RRT planning
MPC-CBF Strategy for Multi-Robot Collision-Free Path-Following,Arthur Da C. Vangasse; Guilherme V. Raffo; Luciano C. A. Pimenta,2023,"2023 Latin American Robotics Symposium (LARS), 2023 Brazilian Symposium on Robotics (SBR), and 2023 Workshop on Robotics in Education (WRE)",https://ieeexplore.ieee.org/document/10332984,IEEE,2,time varying CBF planning
Rate-Tunable Control Barrier Functions: Methods and Algorithms for Online Adaptation,"Hardik Parwana, Dimitra Panagou",2023,arXiv:2303.12966,https://doi.org/10.48550/arXiv.2303.12966,google scholar,3,CBF gain parameter tuning
Research on Path Planning and Tracking Control of Autonomous Vehicles Based on Improved RRT* and PSO-LQR,"Zhang, Y.; Gao, F.; Zhao, F.",2023,"Processes 2023, 11, 1841",https://www.mdpi.com/2227-9717/11/6/1841,google scholar,19,safe LQR RRT planning
Safe Feedback Motion Planning in Unknown Environments: An Instantaneous Local Control Barrier Function Approach,"Li, C., Zhang, Z., Ahmed, N. et al.",2023,"J Intell Robot Syst 109, 40",https://link.springer.com/article/10.1007/s10846-023-01962-8,springer,0,safe LQR RRT planning
Safe Trajectory Path Planning Algorithm Based on RRT* While Maintaining Moderate Margin From Obstacles,"Lim, S., Jin, S.",2023,"Int. J. Control Autom. Syst. 21, 3540–3550",https://link.springer.com/article/10.1007/s12555-023-0383-x,springer,10,kinodynamic RRT autonomous vehicles
Advances in the Theory of Control Barrier Functions: Addressing practical challenges in safe control synthesis for autonomous and robotic systems,"Kunal Garg, James Usevitch, Joseph Breeden, Mitchell Black, Devansh Agrawal, Hardik Parwana, Dimitra Panagou,",2024,Annual Reviews in Control,https://doi.org/10.1016/j.arcontrol.2024.100945,google scholar,35,control barrier function autonomous
Motion Planning and Pose Control for Flexible Spacecraft Using Enhanced LQR-RRT*,Xilin Zhong; Zhengtao Wei; Ti Chen,2024,"IEEE Transactions on Aerospace and Electronic Systems ( Volume: 59, Issue: 6, December 2023) ",https://ieeexplore.ieee.org/abstract/document/10234103,google scholar,7,safe LQR RRT planning
Efficient and Asymptotically Optimal Vehicle Motion Planning With Stochastic Template-Based RRT*,Shaoyu Yang; Masamichi Shimosaka,2025,IEEE Access ( Volume: 13) ,https://ieeexplore.ieee.org/document/10904464,IEEE,0,kinodynamic RRT autonomous vehicles
Potential-informed path planning with control barrier functions,"Li, S., Yang, J., Yuan, S. et al.",2025, Intel Serv Robotic,https://link.springer.com/article/10.1007/s11370-025-00618-w,springer,0,safe LQR RRT planning
Preoperative path planning of craniotomy surgical robot based on improved MDP-LQR-RRT* algorithm,"Zhenzhong Liu, Mingyang Li, Runfeng Zhang, Guobin Zhang, Shilei Han, Kelong Chen",2025,"Biomedical Signal Processing and Control
Volume 105, July 2025, 107647",https://doi.org/10.1016/j.bspc.2025.107647,google scholar,2,safe LQR RRT planning
RRT-CBF Based Motion Planning,"Leonas Liu, Yingfan Zhang, Larry Zhang, Mehbi Kermanshabi",2024,preprint arXiv:2410.00343,https://doi.org/10.48550/arXiv.2410.00343,google scholar,2,safe LQR RRT planning
Topology-Aware Efficient Path Planning in Dynamic Environments,"Haoning Zhao, Jiamin Guo, Chaoqun Wang, Xuewen Rong, Yibin Li",2024,"Machines, Vol 13, Iss 1, p 14 (2024)",https://www.mdpi.com/journal/machines,google scholar,0,dynamic obstacle avoidance vehicles
